	SRR3735256	SRR3735257	SRR3735258	SRR3735259	SRR3735260	SRR3735261	SRR3735262	SRR3735263	SRR3735264	SRR3735265	SRR3735266	SRR3735268	SRR3735269	SRR3735270	SRR3735271	SRR3735272	SRR3735273	SRR3735274	SRR3735275	SRR3735276	SRR3735277	SRR3735278	SRR3735279	SRR3735280	SRR3735281	SRR3735283	SRR3735284	SRR3735285	SRR3735286	SRR3735287	SRR3735288	SRR3735289	SRR3735290	SRR3735292	SRR3735293	SRR3735294	SRR3735295	SRR3735296	SRR3735297	SRR3735298	SRR3735299	SRR3735300	SRR3735301	SRR3735302	SRR3735303	SRR3735304	SRR3735305
ASV_1	242	18	8	0	6	0	0	0	0	82	6832	0	0	8986	2736	6	18	20	0	0	4472	816	98762	282	81270	2954	78	0	22	0	30	0	18	40	190	46	106	2792	0	0	2	8	81958	75926	1214	4	3908
ASV_2	0	0	10180	0	14	0	10	2	20	9462	17638	44838	0	75970	11192	7620	0	6	0	2	0	0	746	12	0	3284	6116	468	24	10	0	0	0	4	0	4	63086	3506	2	15708	4	15162	1312	152	4342	0	632
ASV_3	3992	2408	7360	930	2638	3790	8952	2180	8056	416	19094	2074	2284	6198	17336	2886	68	948	0	746	4710	3902	1546	2546	668	2688	13994	1030	134	13984	296	0	4000	22166	2838	14002	8416	4642	0	4768	22	46626	4700	12188	2020	0	1718
ASV_4	744	260	4	12	168	11892	13098	46748	31900	0	156	0	10652	0	0	0	0	8	0	14	4	0	0	55494	0	0	0	10	0	50	0	0	0	54	89962	18	0	0	0	0	0	266	134	136	88	8	20
ASV_5	16	0	0	2	26	94	118	1668	762	0	3464	0	0	284	0	0	0	0	0	0	5390	3906	196	272	166	104	76	0	0	96	0	6	36	195502	68	34862	332	260	0	284	6	174	868	726	10	0	0
ASV_6	5010	932	140636	0	0	368	10	56	0	6	144	18	310	664	0	2	0	0	0	0	0	0	50	5798	0	98	428	20	12	0	0	0	0	0	2758	0	0	2	0	0	0	6	4498	1074	4104	2	39200
ASV_7	0	0	0	0	0	0	0	0	0	16	1996	0	0	540	0	0	0	0	0	0	48	38	9244	0	7824	362	0	0	8	0	0	0	0	0	0	0	16	134	0	0	0	0	77266	96802	28	0	172
ASV_8	3482	290	2	0	12	236	30	18	0	0	1822	0	212	622	604	0	20	398	0	90	9112	3220	17976	4004	9998	480	470	48	52	230	6	0	0	16	1962	14	28	36	0	0	0	402	64110	69608	580	0	984
ASV_9	3132	4548	0	22934	6144	2058	1026	1200	354	0	0	0	21426	2	0	0	13116	4972	0	8452	558	396	0	1192	44	0	128	0	10	36340	22602	0	494	124	4974	720	628	104	2	68	0	2574	32	202	46	0	144
ASV_10	594	348	6	176	164	1610	516	1184	206	30	256	154	3730	4	0	0	7412	5102	0	54082	1758	786	178	1588	110	408	3434	118	86	14696	276	0	374	290	3632	578	1900	1112	0	4650	4	41154	258	690	162	0	98
ASV_11	3644	4136	2	21492	6222	2116	912	918	232	0	0	0	21508	0	0	0	11960	5936	0	7508	642	524	34	1372	66	10	72	0	0	30878	18646	0	388	142	4542	714	634	122	0	194	0	2146	70	60	0	0	150
ASV_12	476	478	9818	152	238	218	1822	3512	3900	866	12652	4312	616	17552	23662	14178	0	46	0	10	22	26	82	376	46	234	1074	290	44	340	42	0	36	64	528	178	2878	190	0	416	0	22154	1596	3310	3604	0	5672
ASV_13	109628	8618	0	56	4032	26	172	86	20	0	54	64	36	60	0	0	0	10	0	0	138	86	86	6966	28	120	840	0	0	10	0	0	6	0	136	0	0	0	0	0	0	0	686	156	258	0	318
ASV_14	20	0	0	0	0	0	0	0	0	0	68	0	0	48	0	0	0	0	0	2	18	24	22618	22	11448	860	90	0	0	0	0	0	0	0	0	2	24	28	0	0	0	2	83280	2078	4	0	0
ASV_15	912	114	0	610	2080	18	0	132	60	0	29386	0	0	0	0	0	0	0	0	0	402	366	552	14	514	6	12	0	0	14	0	0	6	8522	0	1908	22	56970	0	90	0	0	1478	1200	0	0	0
ASV_16	0	0	0	0	0	72	42	500	238	0	17170	0	8	0	0	0	0	2	0	0	1592	1330	2538	40	2692	60	0	0	0	92	6	0	74	8202	28	8726	8	48628	0	0	0	140	826	2524	0	0	0
ASV_17	1700	1862	0	12564	2906	1680	622	634	100	0	0	0	11778	0	0	0	6340	2970	0	4298	344	194	28	594	0	6	66	6	6	19706	11120	0	244	46	2262	388	628	48	0	158	0	604	6	2	0	0	0
ASV_18	954	104	22104	0	16	18	78	54	4	26	1532	110	64	6918	4574	710	0	6	0	10	76	14	12	158	0	48	96	188	0	0	0	0	0	6	24	0	0	4	0	18	0	308	330	158	586	0	40932
ASV_19	3822	3024	0	10684	5024	1370	1042	794	156	0	0	0	10260	6	0	0	6366	5782	0	3272	760	422	20	1526	52	24	124	0	8	11190	8034	0	308	96	4262	258	72	12	0	4	0	774	48	0	26	0	30
ASV_20	2220	2348	12	10684	3372	1512	570	764	96	0	22	0	11042	136	0	0	6120	3410	0	3818	424	246	12	730	12	0	116	12	0	14656	9262	0	214	72	2696	252	46	12	0	0	0	3184	12	28	0	0	58
ASV_21	4630	960	0	3700	9362	12766	13024	11294	3496	0	0	0	436	0	0	0	4	236	0	68	22	0	2	600	8	14	0	0	0	10074	376	0	2488	104	230	24	2	14	0	0	0	3952	40	20	0	0	0
ASV_22	54488	13868	0	300	7858	8	138	56	0	0	0	0	6	0	38	0	22	272	0	0	0	0	0	40	0	0	6	0	0	6	10	0	2	0	0	0	0	0	0	0	0	0	76	0	200	0	96
ASV_23	68	108	2254	0	0	392	62	188	110	6	704	22	68	1308	1366	78	6	0	0	0	0	0	264	4802	0	1406	452	10	0	0	0	0	0	0	5328	0	94	62	0	230	0	6	13836	13618	456	0	20420
ASV_24	2866	2190	0	8810	3626	1236	526	1080	144	0	0	0	8200	0	0	0	5206	4680	0	2548	538	362	16	1110	66	38	142	0	0	8316	5920	0	182	22	3324	152	122	12	0	0	0	16	0	58	14	0	34
ASV_25	510	54	0	0	0	160	4	42	18	0	46	0	102	0	0	0	20	128	0	0	23170	12590	5982	1682	4570	338	56	0	0	86	0	0	0	56	644	18	0	14	0	0	0	586	6784	3200	114	0	0
ASV_26	3368	2124	0	7316	3758	1338	868	1654	160	0	0	0	7658	242	0	0	4612	5228	0	2274	570	356	26	1180	22	4	38	0	4	6996	5118	0	352	100	3532	328	26	98	0	240	0	340	26	36	30	0	74
ASV_27	610	38	0	0	16	26	14	32	30	0	0	0	10	0	0	0	6	0	0	16	43466	12122	64	308	106	150	68	0	0	0	0	0	0	254	104	68	8	0	0	0	0	210	252	356	76	0	34
ASV_28	100	62	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	4	0	12	5792	2784	14654	200	10268	288	0	0	0	0	0	0	0	8	54	12	30	16	0	0	0	0	12964	8286	0	0	94
ASV_29	0	0	544	0	0	0	0	0	0	2	136	18	0	656	0	0	0	30	0	4	206	26	210	42	164	624	2248	1668	1420	10	2	0	0	0	0	0	50	392	0	1488	0	45336	160	0	76	0	0
ASV_30	0	0	0	6	8	424	442	1896	460	0	1150	0	14	0	0	0	0	8	0	46	346	356	332	128	304	22	18	0	0	1642	6	0	1452	9064	42	3912	300	29698	0	252	0	516	42	34	0	0	0
ASV_31	728	138	0	408	1358	20162	25590	1132	590	2	134	0	800	0	0	0	12	106	10	8	0	0	0	174	0	0	14	0	0	388	10	0	126	0	104	0	0	0	0	24	0	0	18	32	32	0	0
ASV_32	1398	344	0	0	4	10772	106	88	12	0	24	0	4108	0	0	0	218	3746	0	1776	234	102	0	9610	44	0	12	0	0	2680	8	0	8	0	12766	6	0	82	0	180	0	2496	158	72	0	0	220
ASV_33	26	10	0	32	92	19478	25042	2040	696	2	0	0	678	0	0	2	0	46	0	10	0	0	0	262	0	0	0	0	0	572	4	0	94	10	88	0	0	0	0	0	0	0	76	8	0	0	56
ASV_34	1548	382	0	940	2944	7868	13410	7850	3220	268	256	1240	532	1248	0	0	0	0	0	0	0	0	0	1598	0	4	16	0	0	20	0	2	2	18	638	6	4	0	0	0	0	0	398	128	1662	0	22
ASV_35	464	8	17744	0	0	26	66	106	14	40	850	180	30	1372	2994	576	0	0	0	10	3058	978	148	1058	12	54	8	568	0	8	0	0	0	90	380	12	28	4	0	8	0	8	1768	762	2826	2	9584
ASV_36	2	0	0	0	6	506	150	148	62	0	0	0	1276	0	0	0	2268	1078	0	17980	360	158	56	374	60	130	758	44	16	3768	94	0	100	64	918	260	756	394	0	1844	0	10812	60	306	38	0	0
ASV_37	32	2	0	0	0	118	64	122	222	912	2910	4812	198	5150	0	0	52	142	0	596	768	344	470	1806	388	122	908	22	8	1836	16	0	106	144	3150	84	1402	4120	0	4432	0	444	1648	966	6210	0	30
ASV_38	44	18	0	0	16	208	82	428	264	1106	2564	5806	236	5886	0	0	58	116	0	868	628	350	394	1434	368	138	742	24	0	1654	42	0	152	110	3374	110	1246	3960	0	2878	0	624	1704	1252	5832	0	10
ASV_39	106	12	0	28	144	1526	1570	17638	7324	0	0	2	54	0	0	0	0	38	0	78	84	62	0	1474	0	0	0	0	0	7718	20	0	2182	828	476	356	4	8	0	0	0	1196	10	0	0	0	0
ASV_40	1110	112	0	0	62	5470	32144	322	96	0	0	0	1396	0	0	0	0	0	0	0	0	0	0	982	2	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	180	38	0	0	158
ASV_41	1522	1360	0	6638	2130	938	476	786	144	0	0	0	5758	0	0	0	3176	2634	0	1714	342	248	8	676	26	26	112	0	0	6374	4420	0	192	84	1946	76	56	42	0	28	0	206	10	22	0	0	0
ASV_42	22778	12030	0	812	4142	0	54	22	0	0	0	0	10	0	0	0	14	102	0	0	0	0	0	18	0	0	6	0	0	8	12	0	0	0	6	0	0	0	0	0	0	0	26	0	38	0	32
ASV_43	3850	1556	0	3288	5766	4326	2998	2478	1704	0	0	0	428	0	0	0	36	262	0	150	0	14	0	300	0	16	0	0	0	6180	204	0	1574	0	182	22	4	0	0	0	2	2002	14	0	16	0	0
ASV_44	128	22	0	214	242	3158	3698	7532	3856	0	0	0	162	0	0	0	0	36	0	32	38	6	0	430	0	6	0	0	0	9250	80	0	3178	618	184	468	100	274	0	1028	0	2210	6	0	0	0	0
ASV_45	0	0	0	6	0	104	230	13748	7788	0	236	0	8	0	0	0	0	0	0	56	82	40	0	5262	0	0	0	0	0	2614	0	0	512	244	4782	86	10	0	0	0	0	0	0	18	0	0	0
ASV_46	10	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	35200
ASV_47	702	1054	0	4760	1770	408	190	154	90	0	0	0	4358	0	0	4	3620	952	0	1996	114	72	0	266	0	0	16	0	0	7478	5418	0	70	12	1012	276	34	28	0	0	2	14	0	0	0	0	20
ASV_48	536	534	224	306	966	886	734	490	2514	60	932	266	164	2198	852	1540	10	64	0	160	0	0	42	360	28	166	942	124	0	2982	168	0	1028	186	428	164	60	326	0	204	0	12926	112	0	166	0	120
ASV_49	6432	7924	0	3784	3282	18	0	8	50	0	108	0	8	2	0	0	0	86	0	30	0	0	0	26	0	0	108	2	0	48	24	0	0	2	20	6	38	32	0	34	0	628	2002	18	9110	0	4
ASV_50	1230	118	0	0	0	176	12	64	4	662	1516	2888	66	2894	0	2	4	240	0	28	3116	680	436	1984	214	490	862	62	30	120	0	0	0	46	824	14	190	70	0	222	0	50	5628	2252	4514	0	184
ASV_51	21582	5922	0	120	3236	0	32	0	0	0	0	0	4	0	0	0	2	98	0	0	0	0	0	30	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	30	0	48	0	16
ASV_52	6	0	0	0	8	192	34	344	274	552	1168	2554	288	2690	0	6	32	66	0	936	478	302	242	1072	256	92	492	12	0	1364	18	0	118	122	2628	134	1648	3312	0	2618	0	294	1276	1416	3616	0	0
ASV_53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	98	8880	0	8974	160	6	0	0	0	0	0	0	0	0	0	6	12	0	16	0	0	10780	1446	0	0	14
ASV_54	18	6	0	16	56	5212	7846	7306	2678	0	180	0	282	0	0	0	18	412	0	14	14	0	0	2002	0	0	4	0	0	1168	356	4	206	14	574	0	0	0	0	0	0	616	0	0	0	0	30
ASV_55	1694	1286	154	21052	4554	164	60	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_56	10512	1288	0	1724	14194	48	82	34	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	14	0	2	0	0
ASV_57	48	16	0	80	172	6462	6726	630	340	0	0	0	174	0	0	0	4	66	0	116	168	138	0	122	0	2	4	0	0	5122	20	0	3200	2208	42	920	158	18	0	0	0	486	16	0	0	0	0
ASV_58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3772	1660	0	8	6	0	0	0	0	0	0	0	12	10726	4	10368	0	42	0	0	0	194	20	46	0	0	0
ASV_59	122	94	0	46	44	232	80	248	66	0	0	0	638	4	0	0	1272	626	0	9678	258	112	24	272	20	60	396	0	0	2102	56	0	94	32	662	82	528	364	0	1190	0	7108	32	140	22	0	14
ASV_60	0	0	0	0	0	0	0	0	0	0	3632	0	2	0	0	0	0	0	0	0	0	0	26	0	26	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9906	12814	74	0	0
ASV_61	242	54	0	260	578	6244	6162	4626	3618	0	0	0	198	0	4	0	0	6	0	28	16	14	0	956	0	0	0	0	0	1176	8	0	442	372	222	168	0	8	0	0	0	458	0	0	0	0	0
ASV_62	70	842	0	2134	1396	88	66	70	6	0	0	0	2510	0	0	0	3738	108	0	2006	6	8	0	16	6	8	6	0	4	6408	5378	0	52	4	592	20	6	12	0	16	0	90	4	0	0	0	0
ASV_63	0	0	0	0	2	10	0	40	0	2132	1296	10592	0	2930	0	0	0	0	0	0	0	6	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1432	514	6128	0	0
ASV_64	0	0	0	4	36	3266	2748	9686	4498	0	0	0	124	0	0	0	0	16	0	46	168	140	18	646	0	6	0	0	0	954	4	0	394	1036	326	608	16	40	0	0	0	0	0	6	8	0	0
ASV_65	50	0	3340	0	0	0	0	6	0	0	0	0	0	12	1598	0	0	8	0	0	20	2	72	4	0	160	52	2534	0	12	0	0	0	0	0	0	0	0	0	6	6	88	284	0	872	0	15100
ASV_66	1806	728	0	7018	4774	624	328	248	138	0	0	0	68	0	0	0	14	68	0	550	1076	1060	18	296	16	0	10	0	0	1696	156	0	1194	426	324	564	22	44	0	0	0	846	0	0	0	0	52
ASV_67	432	198	0	328	338	5018	4592	5314	3442	0	0	0	1018	0	0	0	0	28	0	22	108	66	0	1446	0	0	0	0	0	120	14	0	34	228	802	306	0	0	0	0	0	0	48	40	0	0	8
ASV_68	12464	7530	0	784	2552	0	60	38	0	0	0	0	10	0	0	0	10	74	0	0	0	0	0	4	8	0	4	0	0	4	12	0	0	0	12	0	0	0	0	0	0	0	30	0	62	0	94
ASV_69	1276	156	0	706	5298	3064	5254	578	290	0	0	0	64	0	0	0	16	350	0	10	0	0	0	62	0	0	0	0	0	3912	122	0	1552	118	8	52	202	0	0	0	0	624	0	4	0	0	0
ASV_70	0	0	0	0	0	202	326	2666	1022	0	0	0	526	0	0	0	0	0	0	242	6	12	0	6416	12	6	0	0	4	284	0	0	0	6	11792	0	0	12	0	0	0	58	10	24	0	0	0
ASV_71	0	0	0	0	0	252	240	2450	1056	0	6	0	952	30	0	0	4	0	0	444	16	0	0	4210	2	0	10	0	0	282	2	0	0	4	12680	4	0	16	0	0	0	0	34	56	34	0	0
ASV_72	14	0	0	0	0	536	100	154	162	0	0	0	68	0	0	0	60	110	0	790	0	12	2	6	0	0	0	0	0	7730	744	0	4192	80	10	488	568	170	0	158	0	6074	0	0	44	0	0
ASV_73	3274	868	0	2262	4010	1506	1348	2222	920	0	0	0	158	0	0	0	18	420	0	38	8	0	0	334	0	0	0	0	4	2550	868	0	244	132	130	92	0	22	0	0	0	802	0	0	16	0	2
ASV_74	2534	1162	0	10306	7854	28	0	0	74	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	28	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_75	24	8	17398	0	0	0	0	12	4	4	66	0	0	444	34	362	0	0	0	0	0	0	26	20	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	1284	24	244	0	550
ASV_76	22	4	0	52	40	4034	2390	7942	4546	0	0	0	0	0	0	0	0	0	0	4	4	0	0	1084	0	0	0	0	0	134	0	0	88	46	0	12	0	0	0	0	0	0	0	0	0	0	34
ASV_77	660	352	274	314	748	24	88	0	34	0	298	0	8	1588	710	1926	0	0	0	0	0	0	0	2	0	64	96	64	0	64	32	0	0	28	0	10	760	40	0	254	0	11714	36	18	66	0	132
ASV_78	0	0	0	0	0	0	0	0	0	92	15258	316	0	950	0	0	0	0	0	0	0	0	44	0	24	74	166	0	0	0	0	0	0	0	0	0	912	308	0	1112	0	0	326	134	42	0	0
ASV_79	0	0	218	0	0	0	0	0	0	334	2214	1844	0	12016	0	0	0	0	0	0	0	0	10	0	0	22	106	44	0	0	0	0	0	0	0	0	40	0	0	8	0	0	488	0	2244	0	114
ASV_80	7312	1182	0	700	5102	1682	2562	454	126	0	0	0	136	0	0	0	0	10	0	0	0	0	0	180	0	0	10	0	0	6	4	0	0	0	120	0	0	2	0	26	0	0	18	24	0	0	0
ASV_81	0	6	0	0	0	0	0	14	0	1684	818	8452	0	3680	0	0	0	0	0	0	0	4	4	4	0	0	0	0	0	0	0	0	0	0	10	0	0	0	2	0	0	0	820	476	3650	0	0
ASV_82	6	0	0	0	14	154	554	10166	3154	0	0	0	20	0	0	0	0	0	0	14	56	20	0	2564	0	0	0	0	0	978	0	0	36	238	1192	62	0	0	0	0	0	0	0	0	0	0	0
ASV_83	1366	308	0	104	596	1286	2188	7070	3592	0	0	0	58	0	0	0	0	18	2	12	0	0	0	772	0	0	0	0	0	932	22	0	388	12	216	0	40	0	0	0	0	0	0	0	0	0	0
ASV_84	0	0	2060	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	22	0	12	440	0	4708	1910	1176	3302	24	74	0	0	0	0	862	0	490	480	0	1194	0	826	154	0	214	2	210
ASV_85	1434	216	0	0	4	1228	6	50	8	0	0	0	450	0	0	0	0	36	0	18	36	0	24	9322	0	0	0	0	0	4	0	0	0	0	5162	0	0	0	0	0	0	0	26	8	0	0	20
ASV_86	62	0	0	230	244	2694	1898	5070	2758	0	0	0	98	0	0	0	0	24	0	30	0	0	6	196	0	38	0	0	0	2114	112	0	1126	212	82	316	0	222	0	0	0	512	6	0	0	0	0
ASV_87	58	12	0	12	78	792	2438	4664	1878	0	12	0	30	0	0	0	2	0	0	30	224	136	290	1538	202	0	0	0	0	2146	4	0	358	1314	252	328	10	1058	0	0	0	0	46	18	0	0	0
ASV_88	616	626	0	2424	924	374	110	130	0	0	0	0	2530	0	0	0	1478	944	0	870	86	76	0	290	0	2	8	0	0	3242	2166	0	0	0	750	0	0	0	0	0	0	216	0	0	0	0	12
ASV_89	234	106	0	162	152	78	26	350	142	362	1522	1828	114	996	0	0	20	40	0	444	226	132	148	616	112	26	354	0	0	710	4	0	74	60	1090	92	658	1782	0	1684	0	426	610	650	1804	0	0
ASV_90	218	50	0	240	482	1658	1942	6720	2348	0	0	0	28	0	0	0	0	4	0	32	44	30	0	432	0	0	0	0	0	1528	8	0	556	644	94	176	0	70	0	0	0	350	22	8	0	0	0
ASV_91	0	0	0	0	0	0	52	88	22	0	254	0	0	0	0	0	0	0	0	0	372	322	0	14	2	0	12	0	0	12	0	0	0	13796	8	2522	0	0	0	0	2	0	52	94	0	0	0
ASV_92	0	6	0	0	0	110	202	2182	1048	0	22	4	686	52	0	0	0	0	0	352	20	2	0	3310	10	0	0	0	0	198	0	0	0	0	9350	0	0	0	0	0	0	0	6	34	0	0	0
ASV_93	962	638	0	120	26	324	58	18	0	32	120	124	1106	536	0	0	1622	5104	0	0	12	0	0	24	0	0	0	0	0	2736	3264	0	0	0	230	0	0	0	0	0	0	0	144	0	0	0	0
ASV_94	0	0	0	0	4	942	658	3844	1788	0	702	0	36	0	2	0	0	0	0	20	346	284	52	328	152	0	0	0	0	346	4	0	362	1878	132	1464	0	3172	0	0	0	0	0	2	0	0	0
ASV_95	0	0	0	0	0	0	0	0	0	1102	1268	5896	0	3562	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	800	362	3504	0	0
ASV_96	1574	526	0	8196	4366	36	126	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	42	38	0	0	0	0	0	1448	0	0	28	0	0	0	0	0	0	0
ASV_97	510	52	0	52	388	898	2168	3676	1760	0	0	0	34	0	0	0	0	74	0	22	0	0	0	936	0	0	0	0	0	3834	8	0	266	86	332	30	10	0	0	0	0	0	2	4	0	0	0
ASV_98	4274	1014	0	2896	6672	96	114	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_99	180	80	0	12	90	188	194	4388	4324	0	0	0	266	0	0	0	0	0	0	4	0	0	0	1530	0	0	0	0	0	0	0	0	0	0	3228	0	0	0	0	0	0	0	0	0	0	0	0
ASV_100	0	0	0	0	0	0	0	0	0	1050	822	5196	0	2920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	52	0	0	786	254	3364	0	0
ASV_101	0	0	0	0	0	968	634	1310	794	0	0	0	62	0	0	0	0	8	0	262	390	352	0	234	0	0	0	0	0	1466	10	0	2430	2416	238	2026	0	0	0	0	0	652	0	8	0	0	0
ASV_102	1214	244	0	1324	2468	3052	3000	1692	760	0	0	0	88	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	50	0	0	8	0	88	0	0	0	0	0	0	0	2	4	0	0	50
ASV_103	208	4	900	0	0	0	0	0	0	0	0	0	4	0	86	0	0	0	0	0	0	0	0	348	6	78	240	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1398	22	2538	0	8108
ASV_104	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	2292	626	14	0	32	8	0	0	0	0	0	0	0	5344	0	5200	0	52	0	0	0	0	30	90	4	0	0
ASV_105	412	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	2326	364	16	6084	50	20	0	14	0	0	0	0	0	0	384	0	0	8	0	8	0	0	3858	60	0	0	0
ASV_106	136	0	0	0	0	10	0	10	0	0	0	0	12	0	0	0	0	368	0	10	0	0	0	8352	144	0	0	0	10	2488	0	0	0	0	1408	0	0	0	0	0	0	594	56	6	0	0	0
ASV_107	48	4	0	80	114	2846	2966	2706	1480	0	0	0	46	0	0	0	0	12	0	18	0	0	0	334	0	0	0	0	0	1704	98	0	716	12	208	0	0	0	0	0	0	0	0	0	0	0	0
ASV_108	18	16	0	4	20	182	112	2442	4132	0	0	0	156	0	0	0	6	6	0	6	0	0	0	2454	0	0	0	0	0	0	0	0	0	0	3618	0	0	0	0	0	0	0	0	0	0	0	0
ASV_109	0	0	0	0	0	414	358	876	380	0	456	0	34	0	0	0	0	16	0	56	220	158	328	112	368	0	0	0	0	590	14	0	460	952	74	1000	0	5874	0	0	0	0	110	262	0	0	0
ASV_110	0	0	2456	0	0	0	0	0	0	0	0	0	0	62	0	168	0	0	0	0	6	0	16	26	0	46	0	502	0	0	0	0	0	0	6	0	0	0	0	0	0	0	116	0	14	0	9558
ASV_111	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	216	144	4938	224	4482	92	0	0	0	18	8	0	2	0	46	0	0	22	0	0	0	0	1564	1126	14	0	22
ASV_112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12924
ASV_113	720	390	0	1816	676	372	150	168	38	0	0	0	1556	0	0	0	840	1074	0	548	92	60	0	252	6	0	6	0	0	1596	1060	0	18	22	788	34	0	12	0	0	0	260	0	12	0	0	0
ASV_114	922	160	0	384	974	3948	4556	144	68	0	0	0	426	0	0	0	0	0	0	10	0	0	0	56	0	0	0	0	0	366	0	0	242	0	0	0	0	0	0	0	0	174	36	4	0	0	8
ASV_115	0	0	0	0	0	38	28	262	152	0	0	0	6	0	0	0	0	0	0	16	632	240	72	40	32	0	0	0	0	136	0	0	78	4480	26	5738	0	294	0	0	0	0	36	158	0	0	0
ASV_116	80	66	0	216	170	3204	2406	1480	1318	0	0	0	1460	0	0	0	0	16	0	70	16	0	0	280	0	0	0	0	0	482	20	0	142	0	614	0	0	0	0	0	0	322	0	0	0	0	0
ASV_117	2434	382	0	6	28	60	48	170	40	0	0	0	112	0	0	0	8	60	0	48	1084	406	0	4006	22	0	30	0	0	34	0	0	0	0	2298	0	0	0	0	0	0	708	46	46	0	0	0
ASV_118	0	10	268	0	12	2058	1596	4038	2276	0	72	0	342	268	0	0	0	2	0	30	0	0	0	188	0	0	0	0	10	180	32	0	124	0	354	0	0	0	0	0	0	0	14	66	16	0	118
ASV_119	4	4	0	0	4	6	26	80	28	0	272	0	0	0	0	0	0	0	0	0	450	258	1920	42	1444	38	0	0	0	150	0	0	0	344	6	58	0	6058	0	0	0	486	262	42	4	0	0
ASV_120	1376	292	0	8	566	72	214	252	474	0	1260	0	32	62	1898	420	0	192	0	0	98	102	188	504	76	128	802	0	0	110	0	0	0	0	142	0	136	0	0	0	0	0	1060	392	724	0	326
ASV_121	6520	3740	0	314	1198	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0
ASV_122	294	84	0	40	282	1272	1428	3868	1338	0	0	0	74	0	0	0	6	88	0	46	6	0	0	686	2	0	0	0	0	1494	0	0	334	18	360	14	0	0	0	0	0	18	2	0	0	0	0
ASV_123	8286	2056	0	32	76	42	0	30	12	0	0	0	52	0	0	0	0	4	0	48	286	162	4	308	6	0	0	0	0	100	0	0	0	6	142	2	0	0	0	0	0	0	18	4	62	0	14
ASV_124	1060	1044	0	5614	3724	112	82	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_125	0	0	0	8	0	56	14	5708	2906	8	0	40	0	0	396	0	0	0	0	24	0	4	0	738	0	0	0	0	0	136	0	0	72	30	384	8	0	0	0	0	0	820	16	10	56	0	40
ASV_126	18	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	880	1238	482	4	742	0	0	0	0	0	0	0	0	4834	2	678	0	2570	0	0	0	0	6	0	0	0	0
ASV_127	1844	360	116	14	34	6	0	28	4	26	82	138	0	494	760	24	0	10	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	578	36	2116	0	4694
ASV_128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11398
